key,name,benefits,more-info,email-contact
sponsor-01,Company A,Hello world!,http://www.companya.com,null
sponsor-02,B Company,التعرض للعلامة التجارية,https://www.companyb.com,sponsor2@example.com
sponsor-03,Company X&Y,社交媒体宣传,http://www.companyc.org,sponsor3@example.com
sponsor-04,Company D,so cool,http://www.org,null
sponsor-05,Beta-Gamma Solutions,ソーシャルメディアの宣伝,null,sponsor5@example.com
sponsor-06,Company F,Sponsorship recognition,http://www.companyf.com,null
sponsor-07,Company G,Media coverage,http://www.companyg.com,sponsor7@example.com
sponsor-08,Company H,Customized sponsorship packages,http://www.companyh.com,sponsor8@example.com
sponsor-09,Компания ЖКШ,Networking events,http://www.companyi.com,sponsor9@example.com
sponsor-10,Company J,Брендирование мероприятия,null,sponsor10@example.com
sponsor-11,Company K,Branding opportunities,https://www.companyk.com,null
sponsor-12,Компания ЖКШ,Brand visibility,null,sponsor12@example.com
sponsor-13,Company M,Logo on event materials,http://www.companym.com,sponsor13@example.com
sponsor-14,شركة العربية ,Networking events,null,null
sponsor-15,Bright Ideas Co.,Product placement,http://www.companyo.com,sponsor15@example.com
sponsor-16,Company P,广告在节目中,null,sponsor16@example.com
sponsor-17,Company Q,Logo on event website,http://www.companyq.com,null
sponsor-18,Company R,Event branding,null,sponsor18@example.com
sponsor-19,会社 XYZ,Product demonstrations,http://www.companys.com,null
sponsor-20,Company T,Сетевые мероприятия,null,sponsor20@example.com